Token,Pool,Chain,Pool Address
crvFRAX,XAI/FRAXBP,Ethereum,0x326290a1b0004eee78fa6ed4f1d8f4b2523ab669
crvFRAX,OHM/FRAXBP,Ethereum,0xfc1e8bf3e81383ef07be24c3fd146745719de48d
crvFRAX,BADGER/FRAXBP,Ethereum,0x13b876c26ad6d21cb87ae459eaf6d7a1b788a113
crvFRAX,RSR+FRAX/USDC (FRAXBP),Ethereum,0x6a6283aB6e31C2AeC3fA08697A8F806b740660b2
crvFRAX,ALCX/FraxBP,Ethereum,0x4149d1038575CE235E03E03B39487a80FD709D31
crvFRAX,GRAI/FRAXBP,Ethereum,0x3175f54a354c83e8ade950c14fa3e32fc794c0dc
crvFRAX,pUSDFRAXBP-A100,Ethereum,0xe60986759872393a8360a4a7abeab3a6e0ba7848
crvFRAX,MAI+FRAXBP,Ethereum,0x66e335622ad7a6c9c72c98dbfcce684996a20ef9
crvFRAX,sUSDFRAXBP,Ethereum,0xe3c190c57b5959ae62efe3b6797058b76ba2f5ef
crvFRAX,USDDFRAXBP,Ethereum,0x4606326b4db89373f5377c316d3b0f6e55bc6a20
crvFRAX,LUSDFRAXBP,Ethereum,0x497ce58f34605b9944e6b15ecafe6b001206fd25
crvFRAX,DUSD/FRAXBP,Ethereum,0xc73151dca19fff7a16ae421a9fb35455832d66d3
crvFRAX,GUSDFRAXBP,Ethereum,0x4e43151b78b5fbb16298c1161fcbf7531d5f8d93
crvFRAX,BUSDFRAXBP,Ethereum,0x8fdb0bb9365a46b145db80d0b1c5c5e979c84190
crvFRAX,agEUR/FRAXBP,Ethereum,0x58257e4291f95165184b4bea7793a1d6f8e7b627
crvFRAX,VCHF/FRAXBP,Ethereum,
crvFRAX,alUSDFRAXBP,Ethereum,0xb30da2376f63de30b42dc055c93fa474f31330a5
crvFRAX,eUSD+FRAX/USDC (FRAXBP),Ethereum,0xaeda92e6a3b1028edc139a4ae56ec881f3064d4f
crvFRAX,ZUSDFRAXBP,Ethereum,0x400d4c984779a747462e88373c3fe369ef9f5b50
crvFRAX,DOLA/FRAXBP,Ethereum,0xe57180685e3348589e9521aa53af0bcd497e884d
crvFRAX,STG/FRAX-USDC,Ethereum,0x867fe27fc2462cff8890b54dfd64e6d42a9d1ac8
crvFRAX,Zunami UZD/FRAXBP,Ethereum,
crvFRAX,COIL/FRAXBP,Ethereum,0xaf4264916b467e2c9c8acf07acc22b9edddadf33
crvFRAX,cvxFxs/FraxBP,Ethereum,0x21d158d95c2e150e144c36fc64e3653b8d6c6267
